id,date,Temperature,Humidity,Light,CO2,HumidityRatio,value
0,12.02.2015,22.315,26.55,461.5,548.0,0.0044250201495211715,1
1,12.02.2015,22.29,26.55,454.0,546.25,0.00441824526980057,1
2,12.02.2015,22.323333333333306,26.6,454.0,542.666666666667,0.0044356775640082,1
3,12.02.2015,22.29,26.6,454.0,543.333333333333,0.00442662509816911,1
4,12.02.2015,22.315,26.6,450.25,551.75,0.00443341291835053,1
5,12.02.2015,22.29,26.65,439.0,555.0,0.00443500515074077,1
6,12.02.2015,22.29,26.65,439.0,552.75,0.00443500515074077,1
7,12.02.2015,22.29,26.745,439.0,555.0,0.00445092786833875,1
8,12.02.2015,22.29,26.79,439.0,554.0,0.00445847049077861,1
9,12.02.2015,22.29,26.815,439.0,556.5,0.00446266091506117,1
10,12.02.2015,22.29,26.79,439.0,565.0,0.00445847049077861,1
11,12.02.2015,22.2675,26.865,439.0,561.75,0.00446487907572183,1
12,12.02.2015,22.2675,26.945,439.0,570.25,0.0044782705524413,1
13,12.02.2015,22.23,26.926666666666694,439.0,576.0,0.00446492296591114,1
14,12.02.2015,22.26,26.963333333333306,439.0,577.333333333333,0.00447927927201729,1
15,12.02.2015,22.29,27.025,439.0,577.75,0.0044978626924110105,1
16,12.02.2015,22.245,27.075,444.25,577.666666666667,0.0044938287492866606,1
17,12.02.2015,22.2,27.033333333333307,453.0,582.75,0.00447449676895718,1
18,12.02.2015,22.2225,27.075,449.5,584.25,0.00448763212130289,1
19,12.02.2015,22.2225,27.125,445.5,585.0,0.00449597943414763,1
20,12.02.2015,22.2,27.1,441.5,591.75,0.00448561086271465,1
21,12.02.2015,22.2,27.1,441.75,596.25,0.00448561086271465,1
22,12.02.2015,22.2,27.1,434.0,602.0,0.00448561086271465,1
23,12.02.2015,22.2,27.175,434.0,605.75,0.00449811468956496,1
24,12.02.2015,22.2,27.1666666666667,444.0,605.0,0.00449672535082264,1
25,12.02.2015,22.2,27.2225,439.0,596.5,0.0045060340380626,1
26,12.02.2015,22.2,27.29,444.0,593.5,0.00451728819349999,1
27,12.02.2015,22.2,27.245,444.0,595.0,0.004509785378283939,1
28,12.02.2015,22.1666666666667,27.23,444.0,596.0,0.00449807612586088,1
29,12.02.2015,22.175,27.29,444.0,594.25,0.00451036492893207,1
30,12.02.2015,22.1333333333333,27.323333333333306,444.0,596.333333333333,0.00450438185755505,1
31,12.02.2015,22.1,27.365,444.0,599.75,0.00450207929588443,1
32,12.02.2015,22.15,27.39,444.0,602.0,0.00452007314978391,1
33,12.02.2015,22.15,27.4425,444.0,603.0,0.0045288001178940785,1
34,12.02.2015,22.1,27.575,444.0,600.0,0.00453688041724203,1
35,12.02.2015,22.1,27.5,444.0,599.0,0.00452445100150358,1
36,12.02.2015,22.1,27.5,444.0,599.25,0.00452445100150358,1
37,12.02.2015,22.1,27.5,444.0,596.5,0.00452445100150358,1
38,12.02.2015,22.1,27.5,444.0,597.25,0.00452445100150358,1
39,12.02.2015,22.075,27.4725,439.0,596.333333333333,0.00451296107108967,1
40,12.02.2015,22.075,27.525,435.0,598.4,0.0045216480427681715,1
41,12.02.2015,22.1,27.55,429.0,601.0,0.00453273722386665,1
42,12.02.2015,22.1,27.6,429.0,599.5,0.00454102366541475,1
43,12.02.2015,22.075,27.575,429.0,606.75,0.00452992157309756,1
44,12.02.2015,22.0,27.525,429.0,606.75,0.00450086627470793,1
45,12.02.2015,22.033333333333307,27.5666666666667,429.0,606.0,0.0045169690360590785,1
46,12.02.2015,22.05,27.65,429.0,612.5,0.0045353636750676786,1
47,12.02.2015,22.0,27.6725,429.0,610.5,0.00452516082891782,1
48,12.02.2015,22.0,27.7675,433.5,620.75,0.00454080916652179,1
49,12.02.2015,22.0,27.7,438.0,626.0,0.00452969053046999,1
50,12.02.2015,22.0,27.7,436.0,623.0,0.00452969053046999,1
51,12.02.2015,22.0,27.79,438.0,626.5,0.00454451546623538,1
52,12.02.2015,21.963333333333306,27.73,441.0,625.0,0.004524426285472421,1
53,12.02.2015,22.0,27.7225,438.0,623.0,0.00453339669863987,1
54,12.02.2015,22.0,27.7,438.0,623.5,0.00452969053046999,1
55,12.02.2015,22.0,27.7,423.5,624.0,0.00452969053046999,1
56,12.02.2015,22.0,27.7,423.5,621.5,0.00452969053046999,1
57,12.02.2015,22.0,27.745,423.5,621.0,0.004537102910656871,1
58,12.02.2015,21.9725,27.79,427.25,622.0,0.00453684239738818,1
59,12.02.2015,21.9725,27.79,423.5,623.5,0.00453684239738818,1
60,12.02.2015,21.89,27.79,433.0,622.0,0.0045138917274480895,1
61,12.02.2015,21.945,27.79,433.0,623.25,0.0045291807611277,1
62,12.02.2015,21.9725,27.79,433.0,632.0,0.00453684239738818,1
63,12.02.2015,21.945,27.79,433.0,634.5,0.0045291807611277,1
64,12.02.2015,22.0,27.79,433.0,632.5,0.00454451546623538,1
65,12.02.2015,22.0,27.79,433.0,623.333333333333,0.00454451546623538,1
66,12.02.2015,22.0,27.79,433.0,619.333333333333,0.00454451546623538,1
67,12.02.2015,22.0,27.79,433.0,616.75,0.00454451546623538,1
68,12.02.2015,22.0,27.79,433.0,617.666666666667,0.00454451546623538,1
69,12.02.2015,22.0,27.79,433.0,616.0,0.00454451546623538,1
70,12.02.2015,22.0,27.79,433.0,616.333333333333,0.00454451546623538,1
71,12.02.2015,22.0,27.79,433.0,614.0,0.00454451546623538,1
72,12.02.2015,21.9725,27.815,433.0,615.0,0.00454095355601153,1
73,12.02.2015,21.945,27.79,426.0,607.5,0.0045291807611277,1
74,12.02.2015,22.0,27.9175,422.5,610.0,0.00456551865956959,1
75,12.02.2015,22.0,28.025,418.5,614.0,0.004583228328517,1
76,12.02.2015,22.0,28.05,433.0,629.0,0.0045873469996607795,1
77,12.02.2015,22.0,28.1,433.0,635.0,0.00459558450438815,1
78,12.02.2015,22.0,28.025,422.5,645.5,0.004583228328517,1
79,12.02.2015,22.0,27.9175,423.666666666667,630.666666666667,0.00456551865956959,1
80,12.02.2015,22.0,27.89,421.8,631.0,0.0045609884399421,1
81,12.02.2015,21.963333333333306,27.926666666666694,419.0,625.666666666667,0.00455674949163352,1
82,12.02.2015,21.9175,27.9175,419.0,625.75,0.00454242673746094,1
83,12.02.2015,21.9175,27.89,419.0,624.5,0.00453791959716756,1
84,12.02.2015,21.945,27.89,419.0,611.0,0.00454559774627516,1
85,12.02.2015,21.89,27.89,419.0,607.666666666667,0.00453025289350595,1
86,12.02.2015,21.9175,27.89,419.0,607.25,0.00453791959716756,1
87,12.02.2015,21.89,27.89,419.0,601.333333333333,0.00453025289350595,1
88,12.02.2015,21.89,27.89,279.33333333333303,603.666666666667,0.00453025289350595,0
89,12.02.2015,21.89,27.945,0.0,603.0,0.00453925189908682,0
90,12.02.2015,21.89,28.05,0.0,604.5,0.00455643253669716,0
91,12.02.2015,21.89,28.1,0.0,614.0,0.00456461412387824,0
92,12.02.2015,21.89,28.163333333333306,0.0,626.333333333333,0.00457497777438213,0
93,12.02.2015,21.89,28.1,0.0,626.5,0.00456461412387824,0
94,12.02.2015,21.89,28.1,0.0,623.0,0.00456461412387824,0
95,12.02.2015,21.89,28.1,0.0,620.0,0.00456461412387824,0
96,12.02.2015,21.89,28.05,0.0,619.0,0.00455643253669716,0
97,12.02.2015,21.89,28.1,0.0,617.5,0.00456461412387824,0
98,12.02.2015,21.89,28.1,0.0,613.5,0.00456461412387824,0
99,12.02.2015,21.89,28.1,0.0,616.0,0.00456461412387824,0
100,12.02.2015,21.89,28.05,0.0,622.5,0.00455643253669716,0
101,12.02.2015,21.89,28.0,0.0,618.666666666667,0.00454825116318119,0
102,12.02.2015,21.89,28.0,0.0,612.0,0.00454825116318119,0
103,12.02.2015,21.89,28.0,0.0,610.0,0.00454825116318119,0
104,12.02.2015,21.89,28.0,0.0,603.5,0.00454825116318119,0
105,12.02.2015,21.89,28.0,0.0,611.0,0.00454825116318119,0
106,12.02.2015,21.89,28.0,0.0,609.5,0.00454825116318119,0
107,12.02.2015,21.89,28.0,0.0,606.5,0.00454825116318119,0
108,12.02.2015,21.89,27.945,0.0,610.0,0.00453925189908682,0
109,12.02.2015,21.89,28.0,0.0,607.0,0.00454825116318119,0
110,12.02.2015,21.89,27.945,0.0,606.0,0.00453925189908682,0
111,12.02.2015,21.89,27.945,0.0,612.5,0.00453925189908682,0
112,12.02.2015,21.89,28.0,0.0,611.666666666667,0.00454825116318119,0
113,12.02.2015,21.89,28.0,0.0,617.0,0.00454825116318119,0
114,12.02.2015,21.89,28.05,0.0,608.5,0.00455643253669716,0
115,12.02.2015,21.89,28.0,0.0,606.0,0.00454825116318119,0
116,12.02.2015,21.89,28.033333333333307,0.0,612.5,0.00455370538845169,0
117,12.02.2015,21.89,28.3,0.0,610.5,0.00459734260942091,0
118,12.02.2015,21.89,28.196666666666694,0.0,612.666666666667,0.00458043246498535,0
119,12.02.2015,21.89,28.54,0.0,610.0,0.00463662130561013,0
120,12.02.2015,21.89,28.1,0.0,600.0,0.00456461412387824,0
121,12.02.2015,21.89,28.463333333333306,0.0,603.666666666667,0.00462407340905389,0
122,12.02.2015,21.89,28.2966666666667,0.0,601.666666666667,0.00459679710664399,0
123,12.02.2015,21.89,28.1,0.0,599.0,0.00456461412387824,0
124,12.02.2015,21.89,28.245,0.0,599.0,0.0045883419350567795,0
125,12.02.2015,21.89,28.15,0.0,597.0,0.0045727959247327706,0
126,12.02.2015,21.89,28.1,0.0,599.5,0.00456461412387824,0
127,12.02.2015,21.89,28.1,0.0,597.0,0.00456461412387824,0
128,12.02.2015,21.84,28.05,0.0,597.5,0.00454244138277123,0
129,12.02.2015,21.84,28.05,0.0,597.5,0.00454244138277123,0
130,12.02.2015,21.823333333333306,28.0666666666667,0.0,595.666666666667,0.00454050202688189,0
131,12.02.2015,21.79,28.05,0.0,594.5,0.00452848815069892,0
132,12.02.2015,21.79,28.05,0.0,592.0,0.00452848815069892,0
133,12.02.2015,21.79,28.05,0.0,595.0,0.00452848815069892,0
134,12.02.2015,21.79,28.1,0.0,597.0,0.00453661919727976,0
135,12.02.2015,21.79,28.0,0.0,592.0,0.004520357315161,0
136,12.02.2015,21.79,28.1,0.0,589.5,0.00453661919727976,0
137,12.02.2015,21.745,28.05,0.0,591.5,0.0045159625915127,0
138,12.02.2015,21.79,28.05,0.0,594.5,0.00452848815069892,0
139,12.02.2015,21.79,28.1,0.0,594.0,0.00453661919727976,0
140,12.02.2015,21.745,28.1,0.0,591.0,0.00452407098565056,0
141,12.02.2015,21.7,28.1,0.0,594.0,0.00451155341017895,0
142,12.02.2015,21.7,28.1,0.0,591.5,0.00451155341017895,0
143,12.02.2015,21.7,28.1,0.0,587.5,0.00451155341017895,0
144,12.02.2015,21.7,28.1,0.0,584.5,0.00451155341017895,0
145,12.02.2015,21.7,28.1,0.0,582.0,0.00451155341017895,0
146,12.02.2015,21.7,28.1,0.0,582.0,0.00451155341017895,0
147,12.02.2015,21.7,28.1,0.0,592.0,0.00451155341017895,0
148,12.02.2015,21.7,28.1,0.0,592.0,0.00451155341017895,0
149,12.02.2015,21.7,28.1,0.0,585.0,0.00451155341017895,0
150,12.02.2015,21.6666666666667,28.1,0.0,579.0,0.00450230084563674,0
151,12.02.2015,21.7,28.1,0.0,581.0,0.00451155341017895,0
152,12.02.2015,21.6,28.1,0.0,582.0,0.0044838459348974105,0
153,12.02.2015,21.7,28.1,0.0,581.5,0.00451155341017895,0
154,12.02.2015,21.65,28.1,0.0,579.5,0.00449768084557703,0
155,12.02.2015,21.6,28.1,0.0,579.666666666667,0.0044838459348974105,0
156,12.02.2015,21.6,28.1,0.0,582.5,0.0044838459348974105,0
157,12.02.2015,21.6,28.1,0.0,585.0,0.0044838459348974105,0
158,12.02.2015,21.6,28.1,0.0,584.0,0.0044838459348974105,0
159,12.02.2015,21.6,28.0,0.0,579.5,0.00446777457180305,0
160,12.02.2015,21.6,28.0666666666667,0.0,583.0,0.00447848872224592,0
161,12.02.2015,21.6,28.0,0.0,584.0,0.00446777457180305,0
162,12.02.2015,21.5666666666667,28.1333333333333,0.0,577.666666666667,0.00447998976689538,0
163,12.02.2015,21.5,28.1333333333333,0.0,576.0,0.0044616128661834,0
164,12.02.2015,21.5,28.1,0.0,576.5,0.0044562887217824785,0
165,12.02.2015,21.5,28.1,0.0,573.5,0.0044562887217824785,0
166,12.02.2015,21.5,28.1,0.0,574.0,0.0044562887217824785,0
167,12.02.2015,21.5,28.1333333333333,0.0,575.333333333333,0.0044616128661834,0
168,12.02.2015,21.5,28.2,0.0,576.0,0.00447226142648379,0
169,12.02.2015,21.5,28.29,0.0,576.0,0.00448663755713656,0
170,12.02.2015,21.5,28.245,0.0,570.5,0.00447944940933615,0
